Date,Close,Volume
2024-06-03,412.5,584243
2024-06-04,421.5,644023
2024-06-05,411.5,649348
2024-06-06,412.5,354417
2024-06-07,399.0,490624
2024-06-10,393.0,516323
2024-06-11,376.75,794602
2024-06-12,372.0,609822
2024-06-13,383.0,427798
2024-06-14,392.0,574760
2024-06-20,411.0,1127197
2024-06-21,416.0,448403
2024-06-24,400.0,590244
2024-06-25,395.5,458438
2024-06-26,377.0,478324
2024-06-27,386.25,377714
2024-06-28,383.5,338578
2024-07-01,364.25,521272
2024-07-02,379.0,823844
2024-07-03,377.75,522774
2024-07-04,376.0,600768
2024-07-05,372.5,580482
2024-07-08,398.0,1203735
2024-07-09,390.75,1958784
2024-07-10,390.25,823594
2024-07-11,394.25,672228
2024-07-12,392.75,620793
2024-07-16,387.25,614738
2024-07-17,384.25,465389
2024-07-18,422.5,1900646
2024-07-19,439.0,2355151
2024-07-22,452.25,1182962
2024-07-23,452.5,1168212
2024-07-24,432.75,812269
2024-07-25,430.0,636415
2024-07-26,442.5,1086572
2024-07-29,428.0,579986
2024-07-30,434.75,700528
2024-07-31,416.75,589070
2024-08-01,458.25,1020042
2024-08-02,461.25,2779547
2024-08-05,445.5,1501048
2024-08-06,445.75,891374
2024-08-07,438.25,765191
2024-08-08,440.0,1120633
2024-08-09,420.25,568606
2024-08-12,399.75,759162
2024-08-13,393.25,719716
2024-08-14,411.75,1660600
2024-08-15,410.0,833809
2024-08-16,402.0,494765
2024-08-19,412.75,803861
2024-08-20,406.25,869910
2024-08-21,400.25,444588
2024-08-22,398.0,437016
2024-08-23,387.0,461822
2024-08-26,373.0,599716
2024-08-27,374.0,560783
2024-08-28,372.75,505216
2024-08-29,384.25,921732
2024-09-02,408.0,1679319
2024-09-03,410.0,915773
2024-09-05,399.0,442840
2024-09-06,396.25,907034
2024-09-09,389.5,618369
2024-09-10,386.75,731785
2024-09-11,371.0,528428
2024-09-12,374.25,569968
2024-09-13,387.0,594404
2024-09-16,379.5,408405
2024-09-17,385.25,440373
2024-09-18,394.0,856961
2024-09-19,408.75,812451
2024-09-20,385.0,723736
2024-09-23,374.0,433095
2024-09-24,378.0,393952
2024-09-25,380.0,753308
2024-09-26,382.5,1527737
2024-09-27,374.0,438200
2024-09-30,363.75,331060
2024-10-01,336.25,631407
2024-10-02,316.0,728970
2024-10-03,312.75,421217
2024-10-04,322.5,587776
2024-10-07,321.5,528271
2024-10-08,328.0,608422
2024-10-09,315.0,466541
2024-10-10,313.5,681469
2024-10-11,289.75,725683
2024-10-14,277.0,367829
2024-10-15,285.25,378107
2024-10-16,287.25,338430
2024-10-17,293.0,356544
2024-10-18,287.5,303716
2024-10-21,284.75,299334
2024-10-22,290.75,519874
2024-10-23,285.25,483957
2024-10-24,296.25,987812
2024-10-25,300.5,1060307
2024-10-28,304.75,534949
2024-10-30,319.25,1302515
2024-10-31,313.5,557672
2024-11-01,314.25,520190
2024-11-04,303.0,677848
2024-11-05,299.0,475198
2024-11-06,297.5,558818
2024-11-07,294.25,367592
2024-11-08,301.75,664351
2024-11-11,306.0,437906
2024-11-12,283.25,893580
2024-11-13,281.0,424961
2024-11-14,287.25,388597
2024-11-15,291.0,444911
2024-11-18,289.75,369772
2024-11-19,283.0,307338
2024-11-20,272.75,309027
2024-11-21,281.75,243589
2024-11-22,288.5,469433
2024-11-25,291.5,312193
2024-11-26,290.5,352774
2024-11-27,290.5,433706
2024-11-28,289.0,386860
2024-11-29,309.0,819298
2024-12-02,298.25,426843
2024-12-03,301.0,649397
2024-12-04,294.5,924371
2024-12-05,301.25,621768
2024-12-06,320.0,1780112
2024-12-09,351.5,1312922
2024-12-10,361.75,1696914
2024-12-11,344.75,645076
2024-12-12,342.25,472702
