Date,Close,Volume
2021-09-01,916.2000122070312,68754
2021-09-02,917.2000122070312,52126
2021-09-03,903.0,22796
2021-09-06,917.0999755859376,37027
2021-09-07,901.0,36822
2021-09-08,884.2000122070312,26768
2021-09-09,893.4000244140625,30622
2021-09-10,910.0,46089
2021-09-13,909.0,76641
2021-09-14,895.0,25935
2021-09-15,875.5999755859375,30237
2021-09-16,876.0,28696
2021-09-17,864.0,17423
2021-09-20,844.0,14157
2021-09-21,854.5999755859375,33896
2021-09-22,848.5999755859375,22527
2021-09-23,853.0,35347
2021-09-24,844.4000244140625,12718
2021-09-27,840.0,11621
2021-09-28,821.5,12686
2021-09-29,814.9000244140625,12427
2021-09-30,812.0,11135
2021-10-01,812.0,16390
2021-10-04,810.2000122070312,12296
2021-10-05,801.0,7969
2021-10-06,782.5,14617
2021-10-07,803.0,14001
2021-10-08,805.2999877929688,16805
2021-10-11,818.2000122070312,21562
2021-10-12,810.5999755859375,14213
2021-10-13,813.0,20437
2021-10-14,807.0,13144
2021-10-15,807.0999755859375,12366
2021-10-18,805.5,13692
2021-10-19,813.0999755859375,13506
2021-10-20,809.4000244140625,18564
2021-10-21,810.0,14080
2021-10-22,825.0,36953
2021-10-25,821.0,17554
2021-10-26,839.2000122070312,30519
2021-10-27,851.5,38901
2021-10-28,843.2000122070312,8208
2021-11-01,852.0,27382
2021-11-02,835.2999877929688,16255
2021-11-03,813.7999877929688,26270
2021-11-04,820.4000244140625,13244
2021-11-05,857.0,99617
2021-11-08,864.0,22861
2021-11-09,854.2000122070312,26252
2021-11-10,835.0,20007
2021-11-11,823.0,13635
2021-11-12,830.0,10599
2021-11-15,848.5,28869
2021-11-16,832.0,19165
2021-11-17,830.7999877929688,19859
2021-11-18,839.0,26248
2021-11-19,861.7000122070312,40875
2021-11-22,947.7999877929688,172677
2021-11-23,924.5999755859376,181310
2021-11-24,1013.9000244140624,121033
2021-11-25,1031.5,113622
2021-11-26,990.0999755859376,92490
2021-11-29,968.0,39357
2021-11-30,940.5999755859376,33219
2021-12-01,962.9000244140624,27172
2021-12-02,952.7999877929688,27893
2021-12-03,991.4000244140624,38809
2021-12-06,1075.0,89395
2021-12-07,1071.800048828125,70127
2021-12-08,1117.4000244140625,113352
2021-12-09,1085.0,45406
2021-12-10,1186.5999755859375,89722
2021-12-13,1200.0,92817
2021-12-14,1212.9000244140625,57353
2021-12-15,1186.0,55547
2021-12-16,1197.199951171875,32620
2021-12-17,1077.5,62158
2021-12-20,1019.0,64078
2021-12-21,980.0,33303
2021-12-22,986.5,26245
2021-12-23,967.4000244140624,22015
2021-12-24,1000.0,17889
2021-12-27,1000.5999755859376,17764
2021-12-28,987.0,20124
2021-12-29,985.0,11183
2021-12-30,973.0,12853
2021-12-31,988.0,9056
2022-01-03,1000.0,15602
2022-01-04,1067.0,55870
2022-01-05,1064.300048828125,32057
2022-01-06,1061.300048828125,26567
2022-01-07,1063.0,19690
2022-01-10,1069.0,20669
2022-01-11,1062.800048828125,18560
2022-01-12,1058.800048828125,17907
2022-01-13,1052.0,11099
2022-01-14,1054.5999755859375,12737
2022-01-17,1060.0,16087
2022-01-18,1008.2999877929688,16254
2022-01-19,1025.0,20469
2022-01-20,1009.9000244140624,14221
2022-01-21,1003.2000122070312,12351
2022-01-24,941.7000122070312,19635
2022-01-25,949.2999877929688,12245
2022-01-26,955.7000122070312,9572
2022-01-27,980.7000122070312,21619
2022-01-28,982.7000122070312,17809
2022-01-31,982.5,10171
2022-02-01,1000.0,15026
2022-02-02,971.5,11946
2022-02-03,958.0,8851
2022-02-04,942.7999877929688,10518
2022-02-07,957.7000122070312,6254
2022-02-08,967.0,10649
2022-02-09,975.0,7883
2022-02-10,963.2000122070312,5929
2022-02-11,997.7000122070312,26649
2022-02-14,973.0,25291
2022-02-15,975.0,9877
2022-02-16,977.0,12002
2022-02-17,965.4000244140624,8989
2022-02-18,968.9000244140624,11355
2022-02-21,964.0,9484
2022-02-22,944.0,7367
2022-02-23,936.0,7828
2022-02-24,842.4000244140625,13956
2022-02-25,898.0999755859375,36762
2022-02-28,871.5,19329
2022-03-01,870.9000244140625,11805
2022-03-02,866.0,9024
2022-03-03,876.0,12069
2022-03-04,871.5999755859375,6341
2022-03-07,862.0,7394
2022-03-08,853.5,11782
2022-03-09,865.0,14321
2022-03-10,857.7999877929688,9750
2022-03-11,870.0,8012
2022-03-14,883.0,10992
2022-03-15,882.0,14311
2022-03-16,907.5999755859376,50586
2022-03-17,918.0,18791
2022-03-18,928.0,64587
2022-03-21,927.0,13389
2022-03-22,977.7000122070312,51691
2022-03-23,961.0,17797
2022-03-24,971.7999877929688,17561
2022-03-25,968.5,8842
2022-03-28,968.7999877929688,10279
2022-03-29,968.0,10587
2022-03-30,969.7999877929688,11879
2022-03-31,952.0,18294
2022-04-01,925.2999877929688,16201
2022-04-04,914.0999755859376,14313
2022-04-05,914.0,15256
2022-04-06,901.5,11479
2022-04-07,906.0999755859376,6104
2022-04-08,909.5,11498
2022-04-11,915.5,16143
2022-04-12,911.0,10957
2022-04-13,912.2999877929688,29534
2022-04-14,917.2000122070312,10605
2022-04-15,920.2000122070312,10183
2022-04-18,960.0,47597
2022-04-19,951.5,37802
2022-04-20,975.0,39703
2022-04-21,960.0,19316
2022-04-22,928.4000244140624,19274
2022-04-25,914.9000244140624,12595
2022-04-26,896.7999877929688,12643
2022-04-27,885.4000244140625,10881
2022-04-28,901.0,9228
2022-04-29,903.0,11686
2022-05-05,918.7999877929688,17425
2022-05-06,927.5,12552
2022-05-09,945.0,16945
2022-05-10,940.5,2640
2022-05-11,898.0999755859375,14009
2022-05-12,884.4000244140625,9317
2022-05-13,907.5,8042
2022-05-16,890.5,6586
2022-05-17,881.5,8313
2022-05-18,904.5,17283
2022-05-20,893.0,9099
2022-05-23,892.7000122070312,8917
2022-05-24,894.2999877929688,16911
2022-05-25,899.4000244140625,6718
2022-05-26,898.5,5451
2022-05-27,901.0999755859376,12178
2022-05-30,909.0,13884
2022-05-31,914.0999755859376,12005
2022-06-01,922.0,14134
2022-06-02,913.0,8312
2022-06-03,928.5,18679
2022-06-06,949.2000122070312,22641
2022-06-07,953.0,15719
2022-06-08,906.5,15042
2022-06-09,912.7999877929688,12511
2022-06-10,903.0,9262
2022-06-13,888.7000122070312,10164
2022-06-14,894.0,20114
2022-06-15,893.0,10569
2022-06-16,898.0,34422
2022-06-17,906.5,22183
2022-06-20,951.2000122070312,93551
2022-06-21,961.0,66154
2022-06-22,998.0,126108
2022-06-23,1060.5999755859375,159895
2022-06-24,1058.5,55235
2022-06-27,1040.0,184
2022-06-28,1026.9000244140625,26968
2022-06-29,972.0999755859376,26444
2022-06-30,961.0,19677
2022-07-01,948.0,10655
2022-07-04,918.0999755859376,18028
2022-07-05,901.5999755859376,20038
2022-07-06,991.7000122070312,59354
2022-07-07,1084.0999755859375,82933
2022-07-08,1070.199951171875,44758
2022-07-13,1177.199951171875,36591
